orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
91gJ3Zp2lT,Applications,Computer Vision,Poster,False,4,8,Mixture Prototype Flow Matching for Open-Set Supervised Anomaly Detection,Fuyun Wang; Yuanzhi Wang; Xu Guo; Sujia Huang; Tong Zhang; Dan Wang; Hui Yan; Xin Liu; Zhen Cui,2605.02438,https://openreview.net/forum?id=91gJ3Zp2lT,2605.02438,
26ELwHEbQL,Applications,Computer Vision,Poster,False,3,6,Anomaly-Preference Image Generation,Fuyun Wang; Yuanzhi Wang; Xu Guo; Sujia Huang; Tong Zhang; Dan Wang; Xin Liu; Hui Yan; Zhen Cui,2605.02439,https://openreview.net/forum?id=26ELwHEbQL,2605.02439,
k7XzObg9Hy,Deep Learning,Large Language Models,Poster,False,4,8,FOAM: Blocked State Folding for Memory-Efficient LLM Training,Ziqing Wen; Jiahuan Wang; Ping Luo; Dongsheng Li; Tao Sun,2512.07112,https://openreview.net/forum?id=k7XzObg9Hy,2512.07112,
ZxMHQCFYr1,Reinforcement Learning,Deep Rl,Poster,False,3,6,Expected Returns and Policy Inconsistency-Aware Offline Federated Deep Reinforcement Learning,Meng XU; Zhongying Chen; Weiwei Fu; Yan Li; Shuguang Wang; Jianping Wang,,https://openreview.net/forum?id=ZxMHQCFYr1,,
TVAMni6Cq1,General Machine Learning,Unsupervised And Semisupervised Learning,Poster,False,3,6,PartCo: Part-Level Correspondence Priors Enhance Category Discovery,Fernando Julio Cendra; Kai Han,2509.22769,https://openreview.net/forum?id=TVAMni6Cq1,2509.22769,
WfxJlvbHpD,General Machine Learning,,Poster,False,3,6,GeoEvo: Identity-Aware Potential Game with Geometric Evolution for Personalized Multimodal Federated Learning,Chen Wang; Yongli Hu; Huajie Jiang; Kan Guo; Tengfei Liu; Junbin Gao; Yanfeng Sun; Baocai Yin,,https://openreview.net/forum?id=WfxJlvbHpD,,
Du8BMHfNzp,Applications,Time Series,Poster,False,3,6,PATRA: Pattern-Aware Alignment and Balanced Reasoning for Time Series Question Answering,Junkai Lu; Peng Chen; Xingjian Wu; Yang Shu; Chenjuan Guo; Christian S. Jensen; Bin Yang,2602.23161,https://openreview.net/forum?id=Du8BMHfNzp,2602.23161,2602.23161
JKMZyCghr4,Social Aspects,Security,Poster,False,4,8,Adaptive Probe-based Steering for Robust LLM Jailbreaking,Junxi Chen; Junhao Dong; Xiaohua Xie,2605.20286,https://openreview.net/forum?id=JKMZyCghr4,2605.20286,2605.20286
NNGIniylxB,Deep Learning,Large Language Models,Poster,False,4,8,Efficient Multi-round LLM Inference over Disaggregated Serving,Wenhao He; Youhe Jiang; Penghao Zhao; Quanqing Xu; Eiko Yoneki; Bin CUI; Fangcheng Fu,2602.14516,https://openreview.net/forum?id=NNGIniylxB,2602.14516,
5pQiAaDN7E,Reinforcement Learning,Deep Rl,Poster,False,3,6,Return-Critic: Bridging Goal Discrepancy for Efficient Visual Reinforcement Learning,Ruyi Lu; Xuesong Wang; Hengrui Zhang; Yuhu Cheng,,https://openreview.net/forum?id=5pQiAaDN7E,,
LMBt26pQj1,Reinforcement Learning,,Poster,False,4,8,COLLIE: Guiding Skill Discovery in Semantically Coherent Latent Space,Yao Luan; Ni Mu; Hanfei Ge; Yiqin Yang; Bo XU; Qing-Shan Jia,2606.00950,https://openreview.net/forum?id=LMBt26pQj1,2606.00950,
xGjhMGmmCF,Applications,Computer Vision,Poster,False,2,4,Taylor-Gaussians-Flow: Towards Non-uniform Motion for Novel View Synthesis from Monocular Video,Zaoming Yan; Qizhou Chen; Yaomin Huang; Pengcheng Lei; Chenhao Shi; Yi Xu; Haichuan Song; Faming Fang,,https://openreview.net/forum?id=xGjhMGmmCF,,
tIG4D44jn9,Applications,Health Medicine,Poster,False,2,4,Discrete Diffusion with Physical Mass Constraints for \emph{De Novo} Peptide Sequencing,An Zeyu; Wanyu Lin,,https://openreview.net/forum?id=tIG4D44jn9,,
UB6M4BSvwJ,Applications,Robotics,Poster,False,5,10,DynVLA: Learning World Dynamics for Action Reasoning in Autonomous Driving,Shuyao Shang; Bing Zhan; Yunfei Yan; Yuqi Wang; Yingyan Li; Yasong An; Xiaoman Wang; Jierui Liu; Lu Hou; Lue Fan; Zhaoxiang Zhang; Tieniu Tan,2603.11041,https://openreview.net/forum?id=UB6M4BSvwJ,2603.11041,2603.11041
f4k0XsOlCZ,Deep Learning,Graph Neural Networks,Poster,False,3,6,Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases,Jun Yin; Peng Huo; Bangguo Zhu; Hao Yan; Senzhang Wang; Shirui Pan; Chengqi Zhang,2603.07916,https://openreview.net/forum?id=f4k0XsOlCZ,2603.07916,
doy2uIaAYt,Social Aspects,Accountability Transparency And Interpretability,Poster,False,2,4,Tracing the Persona Circuit: How Large Language Models Encode and Express Character Traits,Guanzheng Qin; Chenghao Sun; Zhining Xie; Xinmei Tian,,https://openreview.net/forum?id=doy2uIaAYt,,
